name,version,status,observable,remoteType,remoteUrl,pkgKinds,httpReachable,httpStatus,handshake,toolsListed,authRequired,toolCount,annotatedTools,readOnlyHint,destructiveHint,idempotentHint,openWorldHint,failReason
it.marketpilot/marketpilot,1.2.0,active,true,streamable-http,https://api.marketpilot.it/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
com.appskyline/appskyline,0.1.1,active,true,streamable-http,https://mcp.appskyline.com/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
dev.bubblio/door_a9015a46f924,1.0.0,active,true,streamable-http,https://api.bubblio.dev/agent/door_a9015a46f924/mcp,,true,200,initialize,true,false,5,0,0,0,0,0,
io.github.cyanheads/pentest-mcp-server,0.1.8,active,true,streamable-http,https://pentest.caseyjhand.com/mcp,npm,true,200,initialize,true,false,7,7,7,0,7,7,
io.github.musaddiq-dev/mysql-mcp-server,0.1.2,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.standoutmcp/standout,1.0.2,active,true,streamable-http,https://standoutmcp.io/api/mcp,,true,200,initialize,true,false,30,0,0,0,0,0,
com.ainetcafe/netcafe-live-data,1.2.0,active,true,streamable-http,https://ainetcafe.com/mcp/data?s=registry,,true,200,initialize,true,false,11,11,11,11,11,11,
io.github.expremiental/yandex-metrika-mcp,0.1.0,active,true,streamable-http,https://mcp.getaiaiai.ru/yandex-metrika,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.O-mega-Enterprise/founden-mcp,0.1.0,active,false,,,npm,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
ai.viite/business-studio,1.0.0,active,true,streamable-http,https://platform-api.viite.ai/api/mcp,,true,401,,false,true,0,0,0,0,0,0,auth-required-401
io.github.dovahkiin-v/letterbox,1.2.2,active,false,,,pypi,false,,,false,false,0,0,0,0,0,0,no-remote-endpoint
io.github.mcp-dir/obito-mcp,0.1.0,active,true,streamable-http,https://api.mcp.ai/p_obito,,true,200,initialize,true,false,7,7,7,7,7,7,
io.github.naeem-jtr/jtr-holidays,1.1.0,active,true,streamable-http,https://api.jtrholidays.com/mcp/v1,,true,200,initialize,true,false,7,7,7,7,7,7,
site.jiebang.www/tools,1.6.0,active,true,streamable-http,https://www.jiebang.site/mcp,,true,200,initialize,true,false,29,0,0,0,0,0,
io.github.hatgit/forex-gpt-mcp,1.0.0,active,true,sse,https://mcp.forex-gpt.ai/mcp,,true,200,,false,false,0,0,0,0,0,0,sse-no-endpoint-event
